sentence,gt_priority,llm_priority,priority_match,gt_service,llm_service,service_match,gt_from,llm_from,from_match,gt_to,llm_to,to_match,gt_infection,llm_infection,infection_match,all_correct,llm_failed
超緊急 送入院 從 A&D 往 A&D,Super-Urgent,Super-Urgent,True,送入院,送入院,True,A&D,A&D,True,A&D,A&D,True,False,False,True,True,False
超緊急 送入院 從 A&D 往 A&D,Super-Urgent,Super-Urgent,True,送入院,送入院,True,A&D,A&D,True,A&D,A&D,True,False,False,True,True,False
回人 從 X光部 往 3E,Normal,Normal,True,送病人,送病人,True,X光部,X光部,True,3E,3E,True,False,False,True,True,False
送3F X光 從 1B 往 3FXRAY,Normal,Normal,True,送3F X光,送3F X光,True,1B,1B,True,3FXRAY,3FXRAY,True,False,False,True,True,False
超緊急 送入院 從 A&D 往 A&D,Super-Urgent,Super-Urgent,True,送入院,送入院,True,A&D,A&D,True,A&D,A&D,True,False,False,True,True,False
超緊急 送入院 從 A&D 往 A&D,Super-Urgent,Super-Urgent,True,送入院,送入院,True,A&D,A&D,True,A&D,A&D,True,False,False,True,True,False
超緊急 送標本 從 5H 往 化驗室,Super-Urgent,Super-Urgent,True,送標本,送標本,True,5H,5H,True,化驗室,化驗室,True,False,False,True,True,False
超緊急 NEATS病人 從 2A 往 A&D,Super-Urgent,Super-Urgent,True,送病人,送病人,True,2A,2A,True,A&D,A&D,True,False,False,True,True,False
超緊急 送入院 從 A&D 往 SDU,Super-Urgent,Super-Urgent,True,送入院,送入院,True,A&D,A&D,True,SDU,SDU,True,False,False,True,True,False
即時 送X光 從 1B 往 X光部,Urgent,Normal,False,送3F X光,送3F X光,True,1B,1B,True,X光部,X光部,True,False,False,True,False,False
超緊急 送入院 從 A&D 往 A&D,Super-Urgent,Super-Urgent,True,送入院,送入院,True,A&D,A&D,True,A&D,A&D,True,False,False,True,True,False
送標本 從 5L 往 化驗室,Normal,Normal,True,送標本,送標本,True,5L,5L,True,化驗室,化驗室,True,False,False,True,True,False
即時 送3F X光 從 5H 往 3FXRAY,Urgent,Urgent,True,送3F X光,送3F X光,True,5H,5H,True,3FXRAY,3FXRAY,True,False,False,True,True,False
送標本 從 1B 往 化驗室,Normal,Normal,True,送標本,送標本,True,1B,1B,True,化驗室,化驗室,True,False,False,True,True,False
回人 從 X光部 往 3C,Normal,Normal,True,送病人,送病人,True,X光部,X光部,True,3C,3C,True,False,False,True,True,False
超緊急 送入院 從 A&D 往 A&D,Super-Urgent,Super-Urgent,True,送入院,送入院,True,A&D,A&D,True,A&D,A&D,True,False,False,True,True,False
送標本 從 CDU 往 化驗室,Normal,Normal,True,送標本,送標本,True,CDU,CDU,True,化驗室,化驗室,True,False,False,True,True,False
超緊急 送入院 從 A&D 往 A&D,Super-Urgent,Super-Urgent,True,送入院,送入院,True,A&D,A&D,True,A&D,A&D,True,False,False,True,True,False
超緊急 送入院 從 A&D 往 A&D,Super-Urgent,Super-Urgent,True,送入院,送入院,True,A&D,A&D,True,A&D,A&D,True,False,False,True,True,False
超緊急 送入院 從 A&D 往 A&D,Super-Urgent,Super-Urgent,True,送入院,送入院,True,A&D,A&D,True,A&D,A&D,True,False,False,True,True,False
送標本 從 7H 往 化驗室,Normal,Normal,True,送標本,送標本,True,7H,7H,True,化驗室,化驗室,True,False,False,True,True,False
超緊急 送入院 從 A&D 往 A&D,Super-Urgent,Super-Urgent,True,送入院,送入院,True,A&D,A&D,True,A&D,A&D,True,False,False,True,True,False
回人 從 3FXRAY 往 3C,Normal,Normal,True,送病人,default,False,3FXRAY,3FXRAY,True,3C,3C,True,False,False,True,False,False
超緊急 送入院 從 A&D 往 A&D,Super-Urgent,Super-Urgent,True,送入院,送入院,True,A&D,A&D,True,A&D,A&D,True,False,False,True,True,False
送X光 從 2A 往 X光部,Normal,Normal,True,送3F X光,送3F X光,True,2A,2A,True,X光部,X光部,True,False,False,True,True,False
回人 從 X光部 往 4D,Normal,Normal,True,送病人,送病人,True,X光部,X光部,True,4D,4D,True,False,False,True,True,False
回人 從 3FXRAY 往 5H,Normal,Normal,True,送病人,送病人,True,3FXRAY,3FXRAY,True,5H,5H,True,False,False,True,True,False
超緊急 送X光 從 3E 往 X光部,Super-Urgent,Super-Urgent,True,送3F X光,送3F X光,True,3E,3E,True,X光部,X光部,True,False,False,True,True,False
即時 送3F X光 從 3H 往 3FXRAY,Urgent,Normal,False,送3F X光,送3F X光,True,3H,3H,True,3FXRAY,3FXRAY,True,False,False,True,False,False
